Cycle,ChargingCapacity,DischargingCapacity,ChargingVoltage,DischargingVoltage,ChargingTemp,DischargingTemp,ChargingTime,DischargingTime
0,724.1208914,-739.1109211,4.1999769,2.6998193,40.113808,40.937637,735954.8996,735954.859
1,714.5350427,-730.1929494,4.200017,2.6998594,40.176216,40.787846,735962.0645,735962.0245
2,709.8543465,-725.7467376,4.1998968,2.7000198,40.16375,40.80035,735969.2179,735969.1781
3,707.0393485,-722.8431973,4.1998005,2.6999636,40.126312,40.737942,735977.8719,735977.8323
4,702.2342863,-718.3668958,4.1998005,2.7001641,40.151283,40.762875,735985.0076,735984.9682
5,698.8440013,-714.9787007,4.2000809,2.6998432,40.138779,40.850254,735992.1351,735992.0959
6,695.4850715,-711.6204054,4.1999207,2.6999636,40.126312,40.787846,735999.2548,735999.2158
7,691.6932258,-709.532117,4.1999211,2.7002044,40.176216,40.825283,736006.8702,736006.8313
8,687.6300422,-705.8480111,4.1998405,2.7002444,40.188721,40.875229,736013.9819,736013.9432
9,684.2488065,-702.5449769,4.1999612,2.700084,40.138779,40.887695,736021.0867,736021.0482
10,681.0607272,-699.4156478,4.2000413,2.6999238,40.088875,40.825283,736028.1844,736028.1461
11,677.8486336,-696.2835912,4.1998005,2.6998034,40.213692,40.887695,736035.2753,736035.2371
12,674.7281888,-693.2672854,4.1998806,2.6999238,40.151283,40.850254,736042.359,736042.321
13,671.5560814,-690.3687944,4.1998005,2.7000439,40.188721,40.912663,736049.4363,736049.3986
14,668.6709792,-687.6192407,4.1999211,2.6999638,40.226158,40.875229,736056.5072,736056.4696
15,,,,,40.226158,,736056.5072,736056.4696
16,662.9724288,-681.8263155,4.199955,2.700078,0.52071792,0.52169186,736071.6276,736071.5903
17,,,,,0.52071792,,736071.6276,736071.5903
18,656.4621886,-675.887127,4.1997943,2.6999977,40.263599,40.950142,736088.8276,736088.7907
19,653.2751604,-672.7432856,4.2000537,2.7002168,40.201187,40.875229,736096.6027,736096.566
20,650.1157423,-669.7317983,4.1998334,2.7001567,40.213692,40.812817,736104.6021,736104.5655
21,647.1105117,-667.4184829,4.1997528,2.7000365,40.313541,40.887695,736111.6443,736111.6079
22,644.0549445,-663.9526202,4.1999426,2.700186,40.251133,40.862762,736119.7263,736119.69
23,640.7948747,-661.4396086,4.2000628,2.700146,40.37595,40.975075,736126.7601,736126.724
24,638.1391374,-658.2324497,4.1999502,2.6999531,40.37595,40.975075,736134.7114,736134.6755
25,635.3790872,-656.3019663,4.1999907,2.7001135,40.37595,41.037483,736141.7365,736141.7007
26,632.3887851,-652.7810453,4.1999946,2.7001178,40.400921,41.149837,736151.9036,736151.868
27,629.9572173,-651.2742697,4.1999545,2.6999974,40.350979,41.037483,736158.9197,736158.8842
28,627.3439848,-648.8501025,4.1999145,2.6998773,40.388416,41.099892,736165.9379,736165.9026
29,624.1095617,-645.0218398,4.2001953,2.6999574,40.350979,40.925171,736177.8591,736177.824
30,622.4489089,-644.1689848,4.1997943,2.6999574,40.488304,41.099892,736184.8615,736184.8264
31,619.9778349,-642.0891598,4.1999145,2.6999574,40.475796,41.137371,736191.8672,736191.8323
32,617.3031788,-638.7729233,4.1997542,2.6999974,40.413387,41.099892,736200.8489,736200.8142
33,615.3476619,-637.8192442,4.1997943,2.7000377,40.388416,40.937637,736207.8386,736207.8039
34,,,,,40.388416,,736207.8386,736207.8039
35,611.3405703,-632.203018,4.1998973,2.7001004,40.213692,40.862762,736223.6732,736223.6388
36,609.7195456,-631.7444982,4.1999373,2.7000604,40.301033,40.862762,736230.6458,736230.6115
37,605.1998563,-629.5202834,4.1999373,2.7001407,38.403778,41.736496,736237.6266,736237.5926
38,604.134921,-625.4908168,4.1998973,2.7000203,40.388416,41.01255,736249.7992,736249.7653
39,602.8723866,-625.2583088,4.1997371,2.7000203,40.388416,41.000046,736256.7654,736256.7314
40,600.9075598,-623.5531648,4.2000976,2.6998999,40.475796,41.1124,736263.7366,736263.7028
41,598.2787879,-620.4774482,4.1999774,2.6999803,40.488304,41.137371,736272.519,736272.4854
42,596.7047192,-619.5186641,4.1999521,2.6998746,40.450829,41.074959,736279.717,736279.6834
43,594.0871314,-617.6078318,4.1999121,2.699995,40.413387,41.01255,736286.6703,736286.6369
44,591.9284796,-615.7261856,4.1999922,2.7001956,40.413387,41.000046,736293.6281,736293.5948
45,589.3588372,-612.7444427,4.1999121,2.7001154,40.400921,41.087425,736301.5887,736301.5555
46,588.0833075,-612.3496116,4.199832,2.7001956,40.400921,41.062458,736308.5319,736308.4988
47,,,,,40.400921,,736308.5319,736308.4988
48,584.2617834,-608.8768448,4.2000718,2.7000346,40.400921,41.087425,736324.5799,736324.547
49,,,,,40.400921,,736324.5799,736324.547
50,579.5968327,-604.2869401,4.1999211,2.6999638,40.388416,41.01255,736348.7767,736348.7441
51,577.6717759,-603.2069763,4.2000813,2.6998434,40.226158,41.037483,736355.6753,736355.6428
52,575.5147034,-599.8239008,4.2001333,2.7001359,40.750408,41.374504,736367.7684,736367.736
53,574.7467035,-599.8621535,4.1997323,2.7002161,40.725437,41.312096,736374.6495,736374.6172
54,572.8103356,-598.1587016,4.1999326,2.7000957,40.700466,41.312096,736381.5279,736381.4957
55,568.9614464,-594.2801485,4.1999726,2.6999755,40.737942,41.387009,736394.0558,736394.0238
56,568.6323374,-594.4675726,4.2000527,2.7000556,40.750408,41.349533,736400.9266,736400.8946
