Cycle,ChargingCapacity,DischargingCapacity,ChargingVoltage,DischargingVoltage,ChargingTemp,DischargingTemp,ChargingTime,DischargingTime
0,724.1208914093187,-739.1109210621779,4.1999769,2.6998193,40.113808,40.937637,735954.8995751016,735954.858965514
1,714.5350426825697,-730.1929494056872,4.200017,2.6998594,40.176216,40.787846,735962.064541033,735962.024468156
2,709.8543464961379,-725.7467375962049,4.1998968,2.7000198,40.16375,40.80035,735969.2179247488,735969.178111322
3,707.0393485194566,-722.8431973239306,4.1998005,2.6999636,40.126312,40.737942,735977.8719398933,735977.8322947759
4,702.2342863457235,-718.3668958430143,4.1998005,2.7001641,40.151283,40.762875,735985.0076296882,735984.968249491
5,698.8440013150872,-714.9787006955092,4.2000809,2.6998432,40.138779,40.850254,735992.1351277673,735992.0959356313
6,695.4850715278354,-711.6204053941345,4.1999207,2.6999636,40.126312,40.787846,735999.2548229387,735999.2158189366
7,691.6932258285015,-709.5321170323996,4.1999211,2.7002044,40.176216,40.825283,736006.8702082892,736006.8312881392
8,687.6300422440017,-705.8480111354505,4.1998405,2.7002444,40.188721,40.875229,736013.9819323416,736013.9432390486
9,684.2488065128581,-702.5449768529222,4.1999612,2.700084,40.138779,40.887695,736021.0867291691,736021.0482255159
10,681.0607272448832,-699.4156477527364,4.2000413,2.6999238,40.088875,40.825283,736028.1844036636,736028.1460791074
11,677.8486336050008,-696.2835912151658,4.1998005,2.6998034,40.213692,40.887695,736035.2752805902,736035.2371362044
12,674.7281887527703,-693.2672854322545,4.1998806,2.6999238,40.151283,40.850254,736042.3589888443,736042.3210200755
13,671.556081370731,-690.3687943593548,4.1998005,2.7000439,40.188721,40.912663,736049.4363461306,736049.3985556479
14,668.6709791990864,-687.6192406848993,4.1999211,2.6999638,40.226158,40.875229,736056.5072313272,736056.4696031709
15,,,,,40.226158,,736056.5072313272,736056.4696031709
16,662.9724287937147,-681.8263154580586,4.199955,2.700078,0.52071792,0.52169186,736071.6275592151,736071.5902567572
17,,,,,0.52071792,,736071.6275592151,736071.5902567572
18,656.4621886431951,-675.8871270316637,4.1997943,2.6999977,40.263599,40.950142,736088.8276477314,736088.7907101392
19,653.2751603988444,-672.743285643124,4.2000537,2.7002168,40.201187,40.875229,736096.6027119606,736096.5659567087
20,650.1157422984008,-669.7317983178508,4.1998334,2.7001567,40.213692,40.812817,736104.6020777059,736104.565500306
21,647.1105116933119,-667.4184829442038,4.1997528,2.7000365,40.313541,40.887695,736111.6443444537,736111.6079343222
22,644.0549444561768,-663.9526202195469,4.1999426,2.700186,40.251133,40.862762,736119.7262703611,736119.6900348059
23,640.7948747304991,-661.4396086354981,4.2000628,2.700146,40.37595,40.975075,736126.7600500502,736126.7239954646
24,638.1391374235501,-658.2324497447104,4.1999502,2.6999531,40.37595,40.975075,736134.7113711642,736134.6754691855
25,635.3790871886936,-656.3019662937012,4.1999907,2.7001135,40.37595,41.037483,736141.7364527696,736141.7007038017
26,632.3887851445143,-652.7810452742547,4.1999946,2.7001178,40.400921,41.149837,736151.903577956,736151.8679997388
27,629.9572173218418,-651.274269703515,4.1999545,2.6999974,40.350979,41.037483,736158.9196746909,736158.884231174
28,627.3439847566834,-648.8501025188361,4.1999145,2.6998773,40.388416,41.099892,736165.9378888411,736165.9025926255
29,624.1095617381898,-645.0218397585212,4.2001953,2.6999574,40.350979,40.925171,736177.8590914188,736177.8239787711
30,622.448908879052,-644.1689847636143,4.1997943,2.6999574,40.488304,41.099892,736184.8614571088,736184.8264363274
31,619.9778349196439,-642.0891597582703,4.1999145,2.6999574,40.475796,41.137371,736191.8671575544,736191.8322768126
32,617.3031788485108,-638.7729233128966,4.1997542,2.6999974,40.413387,41.099892,736200.848915919,736200.8141869124
33,615.3476618618469,-637.8192441609972,4.1997943,2.7000377,40.388416,40.937637,736207.8385529862,736207.8039337576
34,,,,,40.388416,,736207.8385529862,736207.8039337576
35,611.340570310974,-632.2030179733683,4.1998973,2.7001004,40.213692,40.862762,736223.6732316642,736223.6388408175
36,609.7195455723199,-631.7444982024535,4.1999373,2.7000604,40.301033,40.862762,736230.6457603085,736230.6114586861
37,605.1998563440754,-629.5202834064332,4.1999373,2.7001407,38.403778,41.736496,736237.6266149883,736237.5925681366
38,604.1349210491537,-625.4908168324312,4.1998973,2.7000203,40.388416,41.01255,736249.7992447176,736249.7652581717
39,602.8723865926853,-625.2583088284471,4.1997371,2.7000203,40.388416,41.000046,736256.7653569563,736256.7314396343
40,600.9075598059693,-623.5531647570597,4.2000976,2.6998999,40.475796,41.1124,736263.7365705632,736263.7027634009
41,598.2787878589917,-620.4774481988763,4.1999774,2.6999803,40.488304,41.137371,736272.5190185115,736272.4853600536
42,596.7047192299974,-619.5186640586243,4.1999521,2.6998746,40.450829,41.074959,736279.716974331,736279.6834068453
43,594.08713143121,-617.6078318476868,4.1999121,2.699995,40.413387,41.01255,736286.6702975904,736286.636874835
44,591.9284795739374,-615.7261856172588,4.1999922,2.7001956,40.413387,41.000046,736293.6281118186,736293.5948097343
45,589.3588371850756,-612.7444427379218,4.1999121,2.7001154,40.400921,41.087425,736301.5886522892,736301.5554960188
46,588.0833074787903,-612.349611637397,4.199832,2.7001956,40.400921,41.062458,736308.5319164227,736308.4988317963
47,,,,,40.400921,,736308.5319164227,736308.4988317963
48,584.2617834340922,-608.8768448422716,4.2000718,2.7000346,40.400921,41.087425,736324.5798961121,736324.5470264514
49,,,,,40.400921,,736324.5798961121,736324.5470264514
50,579.5968326875441,-604.2869401481527,4.1999211,2.6999638,40.388416,41.01255,736348.7767326481,736348.7441273569
51,577.6717759357741,-603.2069763171048,4.2000813,2.6998434,40.226158,41.037483,736355.675314737,736355.6428147142
52,575.5147033984103,-599.8239008415256,4.2001333,2.7001359,40.750408,41.374504,736367.7684250879,736367.7360494471
53,574.7467034891866,-599.8621534882067,4.1997323,2.7002161,40.725437,41.312096,736374.6495448999,736374.6172090621
54,572.8103356272312,-598.158701601549,4.1999326,2.7000957,40.700466,41.312096,736381.527888222,736381.4956610505
55,568.9614464139573,-594.2801484523485,4.1999726,2.6999755,40.737942,41.387009,736394.0558081921,736394.0237981532
56,568.632337365943,-594.4675726175096,4.2000527,2.7000556,40.750408,41.349533,736400.9265976817,736400.8946055564
57,566.7898372362026,-592.857351306983,4.2001333,2.7000155,40.712971,41.387009,736407.7943285884,736407.7624401826
58,564.7710880962863,-590.4253670448167,4.2000928,2.6997349,40.775379,41.436913,736414.8570326389,736414.8252587225
59,563.0229675191888,-589.4471143131173,4.1997323,2.699775,40.750408,41.399475,736421.7183785175,736421.6867022599
